,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,340.677
1,Industrial and Commercial Bank of China,300.835
2,Bank of America,283.508
3,Wells Fargo,268.416
4,China Construction Bank,224.309
5,HSBC Holdings PLC,191.082
6,Agricultural Bank of China,177.116
7,Citigroup Inc.,177.047
8,Bank of China,158.14
9,China Merchants Bank,106.853
10,Royal Bank of Canada,106.808
11,Banco Santander,100.823
12,Commonwealth Bank,97.8
13,Mitsubishi UFJ Financial Group,97.305
14,Toronto-Dominion Bank,94.507
15,BNP Paribas,89.984
16,Goldman Sachs,87.759
17,Sberbank of Russia,87.005
18,Morgan Stanley,86.84
19,U.S. Bancorp,82.402
20,HDFC Bank,77.066
21,Itaú Unibanco,75.121
22,Westpac,73.689
23,Scotiabank,68.798
24,ING Group,68.774
25,UBS,65.778
26,Charles Schwab,64.709
27,PNC Financial Services,62.958
28,Lloyds Banking Group,62.093
29,Sumitomo Mitsui Financial Group,58.673
30,Bank of Communications,58.455
31,Australia and New Zealand Banking Group,57.906
32,Banco Bradesco,56.484
33,National Australia Bank,55.593
34,Intesa Sanpaolo,54.057
35,Banco Bilbao Vizcaya Argentaria,52.877
36,Japan Post Bank,52.744
37,The Bank of New York Mellon,52.132
38,Shanghai Pudong Development Bank,51.237
39,Industrial Bank (China),50.01
40,Bank of China (Hong Kong),48.321
41,Bank of Montreal,46.344
42,Crédit Agricole,45.438
43,DBS Bank,44.858
44,Nordea,44.605
45,Capital One,44.537
46,NatWest Group,43.999
47,Mizuho Financial Group,43.588
48,Credit Suisse,42.232
49,Postal Savings Bank of China,41.784
50,China Minsheng Bank,41.76
51,UniCredit,41.635
52,China CITIC Bank,41.351
53,Hang Seng Bank,40.235
54,Société Générale,40.131
55,Barclays,39.956
56,Canadian Imperial Bank of Commerce,37.946
57,Bank Central Asia,37.772
58,Truist Financial,36.534
59,Oversea-Chinese Banking Corp,36.045
60,State Bank of India,35.348
61,State Street,34.656
62,Deutsche Bank,33.68
63,KBC Bank,33.458
64,Danske Bank,33.309
65,Ping An Bank,33.109
66,Standard Chartered,32.521
67,United Overseas Bank,30.612
68,QNB Group,29.246
69,Bank Rakyat,28.828
70,Banco Bilbao Vizcaya Argentaria,52.877
71,Japan Post Bank,52.744
72,The Bank of New York Mellon,52.132
73,Shanghai Pudong Development Bank,51.237
74,Industrial Bank (China),50.01
75,Bank of China (Hong Kong),48.321
76,Bank of Montreal,46.344
77,Crédit Agricole,45.438
78,DBS Bank,44.858
79,Nordea,44.605
80,Capital One,44.537
81,NatWest Group,43.999
82,Mizuho Financial Group,43.588
83,Credit Suisse,42.232
84,Postal Savings Bank of China,41.784
85,China Minsheng Bank,41.76
86,UniCredit,41.635
87,China CITIC Bank,41.351
88,Hang Seng Bank,40.235
89,Société Générale,40.131
90,Barclays,39.956
91,Canadian Imperial Bank of Commerce,37.946
92,Bank Central Asia,37.772
93,Truist Financial,36.534
94,Oversea-Chinese Banking Corp,36.045
95,State Bank of India,35.348
96,State Street,34.656
97,Deutsche Bank,33.68
98,KBC Bank,33.458
99,Danske Bank,33.309
100,Ping An Bank,33.109
101,Standard Chartered,32.521
102,United Overseas Bank,30.612
103,QNB Group,29.246
104,Bank Rakyat,28.828
